idx	wav	ground_truth	recognized	duration
0	files/58b586f67f5e634506e215df5996b82e.wav	джой хватит	джой хватит	1.696625
1	files/26093ef7a8c5ec6a3c586a6a929c1bd3.wav	салют вызов светлане васильевне николенко	салют вызов светлане васильевне николенко	3.1720625
2	files/b42d13ab3dc159fac39a1120e8011f66.wav	салют хватит	салют хватит	1.5226875
3	files/7e55843e745a239b35212e2caba77239.wav	джой звонок юрию ивановичу царькову	джой звонок юрию ивановичу царькову	3.0640625
4	files/a0c621e2819a3747e42d05940aab0446.wav	джой выйти из сценария	джой выйти из сценария	2.31475
5	files/f293e3548bd266460c8ea6ac1fb76478.wav	салют выйти	салют выйти	1.310125
6	files/b3fc5f249351a9087ffedc0a34385463.wav	салют закройся	салют закройся	1.9009375
7	files/ee2144d4bc00e96131a9bef5c74edd97.wav	салют набери данилова	салют набери данилова	1.8129374999999999
8	files/94f4ad577967f9f61d5d88cd92b1339c.wav	сбер мне нравится	сбер мне нравится	1.9945
9	files/a97958419827c57069bc3550c4353eb9.wav	салют прекрати	салют прекрати	1.4965
10	files/518cfbe596e13b78f1a28610230f971c.wav	сбер громче	сбер громче	1.54925
11	files/1e309075bb8927cffe4c5978a74ba837.wav	салют звонок юрию владимировичу волкову	салют звонок юрию владимировичу волкову	2.9989375
12	files/929f07194a6df223907b154eef92354a.wav	афина выйти	афина выйти	1.7626875
13	files/78097c589f42d7b8e55b86caad3661fa.wav	сбер выйти из сценария	сбер выйти из сценария	1.8864375
14	files/18daa690cdf99e5fc8fa7fba9bf3995f.wav	джой приложение сверни	джой приложение сверни	1.8750624999999999
15	files/7cb3d2d11a4331a544ab6a65cf3de812.wav	афина закрой приложение	афина закрой приложение	2.0255625
16	files/e7b833d06926ceaf61a7208cd3ce56fb.wav	джой надоел	джой надоел	1.6078125
17	files/776d64073d0493b1c741a0e699ec3bf9.wav	сбер выйди из приложения	сбер выйди из приложения	2.188375
18	files/91528fe7b02f6559e47c085f44a84153.wav	джой выйти	джой выйти	1.3928125
19	files/3c28a63e7b457f9e4a1a036dac83fc8c.wav	салют перемотка	салют перемотка	1.675625
20	files/e08e3d5a8b1cda6d7335dc436b491229.wav	афина назад	афина назад	1.5423749999999998
21	files/3a8841919e6be8a46d13a7777fe04cc4.wav	джой выйди	джой выйди	1.3419375
22	files/41bb6b5c75fb89d41a02c6714475a46e.wav	сбер набери изотова	сбер набери из этого	2.012
23	files/d610524f4aaf01fae1a7c2cf92b4fed4.wav	сбер завершить навык	сбер завершить навык	1.9661875
24	files/ab50e0039f7023b879144783c6da4ab5.wav	афина набери марию	афина набери марию	1.7095625
25	files/ab1dcd6ba908a92666e6fd755b241f76.wav	афина выйди из приложения	афина выйди из приложения	2.050625
26	files/abfe2b9a9e5ac54a9d28036e93c817cc.wav	афина покажи текст песни	афина покажи текст песни	2.168375
27	files/c8fb0a5fd9f18b234cf3ee3a2ac95884.wav	джой перестань	джой перестань	1.8069375
28	files/035dc3ff7ff41adab0748e99abb86baf.wav	салют набери любовь петровну	салют набери любовь петровну	2.398125
29	files/28ef7f992691bd2df2c1c8c2f3b07d1d.wav	джой хватит	джой хватит	1.0479375
30	files/72630e8a356ab84aadd45a10311e8baa.wav	джой не нравится	джой не нравится	1.7834375
31	files/d67ecce9041c271933d6d55898ad5ac3.wav	сбер перестань	сбер перестань	1.2565625
32	files/acd44c1b8a144b89f36d357727abd6aa.wav	салют приложение сверни	салют приложение слюни	1.9996874999999998
33	files/ebbf277069165695f839f246470b6a94.wav	афина пауза	афина пауза	1.2324375
34	files/e80b60079a23fdfa096282f3094e66a1.wav	сбер надоело	сбер надоело	2.009625
35	files/214ba598702bb8bde9b313af11e4dc36.wav	джой позвони ольге сергеевой	джой позвони ольге сергеевой	2.65725
36	files/7a8262f00f57be4f967f8e4dbb7204f4.wav	афина сделай звонок ришату ивановичу	афина сделай звонок ришату ивановичу	3.0728125
37	files/ef8e5636049bb0a436705c4ea6187314.wav	афина лайк	афина лайк	1.1498125
38	files/1c776b689ea86d71fa335993fcc5c561.wav	сбер назад	сбер назад	1.5741874999999999
39	files/d71d39485e2b04678edb08afaae90b4a.wav	салют надоел	салют надоел	1.157625
40	files/7d937b4627e109f44b9a8924029e484e.wav	салют набери виталия	салют набери виталия	2.1441875
41	files/eac755b67c08889004442d80c01206fd.wav	салют дизлайк	салют дизлайк	1.3134375
42	files/dcc8d526522d110a1414222f4c012a62.wav	джой набери чернову	джой набери чернову	2.292
43	files/a47455f6a949162450747202c94c602f.wav	сбер набери викторию викторовну емельянову	сбер набери викторию викторовну емельянову	3.5019375
44	files/6e8473fe80297d121fadd9a9b88a7fd5.wav	сбер завершить сценарий	сбер завершить сценарий	1.7235
45	files/70850048dd88b645feba48feb2560de6.wav	джой набери анатолия николаевича габитова	джой набери анатолия николаевича габитова	3.3879375
46	files/c978d109e6d9311b2e7e6fee477a91e1.wav	джой завершить навык	джой завершить навык	1.6605625
47	files/5ab1b03a3ec73a238f5cc9d88df878e1.wav	афина домой	афина домой	1.7150625
48	files/58529877b58a4b50fa6b06112d415c1d.wav	сбер набери ковалева	сбер набери ковалева	1.693625
49	files/f222a8404daf85d0bced7ff1a48b5138.wav	афина перемотка	афина перемотка	1.7095625
50	files/3415000e91b1c22d145b7d4f83810334.wav	салют стоп	салют стоп	1.1848125
51	files/257a891f3c5ff62c00335d4f0325914e.wav	джой громче	джой громче	1.5470625
52	files/0fb90c71202b069e34e8bd6ff4d3dc0c.wav	джой сворачивай приложение	джой сворачивай приложение	2.099125
53	files/0556499e21e596a5a6946d5e341c36c9.wav	сбер надоел	сбер надоело	1.1031875
54	files/88ca2328d9e3683f75d023da611b0990.wav	джой звонок надежде витальевне	джой звонок надежде витальевне	2.3874375
55	files/e025c864aea8dafbb82b481b1a2c64e2.wav	салют сверни	салют сверни	1.1193125
56	files/390ad770132b59b8c2c2d86368be6a0e.wav	афина сделай звонок виктору борисовичу шлыкову	афина сделай звонок виктору борисовичу шлыкову	3.4546875
57	files/5ea303084d36881658ff7f4ce59d7ae9.wav	афина надоела	афина надоело	2.04775
58	files/c36ce794a472722027bcadf28a3253a3.wav	джой нравится	джой нравится	1.380125
59	files/5a89e3e765ab0180b4abeab48936f535.wav	афина нравится	афина нравится	1.34925
60	files/a8ee8a3e087ddba9fa874199ca5924c3.wav	афина сделай звонок ивановскому	афина сделай звонок ивановскому	2.7645
61	files/c24c11cc0ce28aeb83fde653c7863f99.wav	сбер сверни приложение	сбер сверни приложение	1.871875
62	files/5857166e486dcfe3a8c45aae3fea22ca.wav	афина вызов владлену леонидовичу	афина вызов владлена леонидовичу	3.83075
63	files/aa4e35e631b8e9fa2ab752b61fadac6a.wav	афина звонок чащину	афина звонок чащину	2.151
64	files/7c5e58d58e68fa11cbcdb5a84f0f6c0c.wav	салют набери сергея	салют набери сергея	1.7843125
65	files/caa85f3bdd7286e51418f6cf24b75b8f.wav	салют надоел	салют надоел	1.2141875
66	files/f3091c5fa4dff92212eb7561277ef950.wav	джой звонок татьяне никитичне	джой звонок татьяне никитичне	2.223875
67	files/349a241e1ab4314e89591795e5852e4e.wav	салют набери юнусова	салют набери юнусова	1.6818125
68	files/05d6a99b71cbf6726fb2d70b3fe178d4.wav	сбер звонок александру ивановичу	сбер звонок александру ивановичу	2.5048125
69	files/dd016b2cbf244abc6f42ff618229797d.wav	салют позвони владимиру александровичу пономареву	салют позвони владимиру александровичу пономареву	3.361875
70	files/4440a068592d3eb43fa538061d135ee8.wav	сбер предыдущая	сбер предыдущая	1.6119375
71	files/97c5fe0f2550da4ca64655551bf1ef95.wav	сбер набери алину	сбер набери алину	1.415375
72	files/70a79e69f1161f96d6b4610c93463dfe.wav	джой покажи текст песни	джой покажи текст песни	1.9335624999999999
73	files/20baa22e19f564b27a0c595063069b6a.wav	джой продолжить	джой продолжить	1.4120625
74	files/294f02bb690dc859b5798bf5f04954e7.wav	афина выйти из приложения	афина выйти из приложения	2.035
75	files/135db8775329d2a68ad8b133720f0016.wav	сбер вызов эдуарду анатольевичу журавлеву	сбер вызов эдуарду анатольевичу журавлева	3.4105625
76	files/8df0a322ef09bf07f0db90ae0497de90.wav	салют сверни	салют сверни	1.17675
77	files/9f3ed66b4c8ac05107e496b5aa8291e1.wav	афина дизлайк	афина дизлайк	1.604375
78	files/c213012a30a41f9939d71454cf81e559.wav	джой надоела	джой надоело	1.3445624999999999
79	files/2121448ebd6cf624611a7e36acf23ae0.wav	салют следующий трек	салют следующий трек	1.527375
80	files/d936f775ae7becabb54948b6760a0357.wav	джой продолжить	джой продолжить	1.2650000000000001
81	files/1177b707cab398f6905996598b99e20a.wav	салют домой	салют домой	1.3951875
82	files/b8cd60d2a65b9592c53ecc9f16b79f1c.wav	сбер громче	сбер громче	1.13175
83	files/3cd4a8311962bea93057b05a695938b2.wav	джой скрой приложение	джой скрой приложение	1.80075
84	files/71ee649d04986295f282a7de340ace81.wav	джой предыдущий трек	джой предыдущий трек	1.396375
85	files/0cec694b6b29d1d3c4c7ee5798f1b931.wav	салют продолжить	салют продолжить	1.5035625000000001
86	files/4398723dce8cf50dde0a37895548db58.wav	салют позвони тамаре львовне швецовой	салют позвони тамаре львовне швецовой	3.27775
87	files/b9970c9eeceb52593b73ae2386cf142a.wav	сбер вызов сереже костюку	сбер вызов серёжи костюку	2.8555625
88	files/3f1798eac5a774ec1e0a8322ab6c6ce2.wav	салют стоп	салют стоп	0.9353125
89	files/f05c9695ca8a3bc3b56514064e3c2513.wav	афина случайный трек	афина случайный трек	2.0781875
90	files/b3ee014e09682d10907c1bc8ee146417.wav	джой стоп	джой стоп	1.165
91	files/6515b29fde07f737c6230271e29f6138.wav	афина набери сергея грачева	афина набери сергея грачева	2.998875
92	files/b53e2139d5640a5ba4156f9658c9cf2c.wav	сбер играть сначала	сбер играть сначала	1.796
93	files/62740fddee85a264ffefa18e26d3ad6b.wav	джой повтор	джой повтор	1.5317500000000002
94	files/2902a828a0a02bff9f23ec118e91fc62.wav	афина звонок хоревой	афина звонок в уровень	2.0779375
95	files/36f9830dca10bf7afc2695dc543da68e.wav	афина дальше	афина дальше	1.3241874999999999
96	files/8e2a2fe0ae9a576c5845e48fa6d9c1dd.wav	афина вызов кире нуруллину	афина вызов киря нуруллину	3.148125
97	files/c97372146ec4484abb25b4a01f7d22f6.wav	афина набери григорьеву	афина набери григорьева	1.998625
98	files/025ec4999957fbdd393fe9548f73d3e6.wav	афина дальше	афина дальше	1.7426875
99	files/c7a3869cfa617c4c32335592221d527a.wav	джой перестань	джой перестань	1.2583125
100	files/3b7fd01b713fece7ecb8b7457aac12aa.wav	сбер повтор	сбер повтор	1.1571875
101	files/9bf1c387bd72fe750e63f04d2699b403.wav	сбер выйди из приложения	сбер выйди из приложения	2.0648125
102	files/f510bcd7d0abcd79024b80005edb1eda.wav	сбер завершить навык	сбер завершить навык	1.70225
103	files/631de5fc9e45dc9a2ee98525ccc5b9e2.wav	салют приложение сверни	салют приложение сверни	1.9831875
104	files/c227c3be6bf290d1be3f31eb9108e281.wav	сбер вызов дмитрию рочеву	сбер вызов дмитрию роче	2.395625
105	files/2a927cc4ecb0815354ee6ee8310c4586.wav	сбер лайк	сбер лайк	1.3446875
106	files/6feb80b0fda184eb77e8acf03c0689b4.wav	сбер звонок виталию флюровичу	сбер звонок виталию флюровичу	2.7626875
107	files/41e941b2258fe469fcd4f28f85a77c28.wav	сбер остановить	сбер остановить	1.4450625
108	files/2a71b9ea1cbb4c0b91ba7c59a3b6ab4f.wav	джой не нравится	джой не нравится	1.562625
109	files/247b88473a4dce07adc7e0a59241fe58.wav	сбер сделай звонок евгению михайловичу тимофееву	сбер сделай звонок евгению михайловичу тимофееву	3.94525
110	files/ac4896de3260f9287281a7d05e55ed02.wav	сбер выйти из навыка	сбер выйти из навыка	2.4825625000000002
111	files/26db91c46255ce499282125da6ebd9c8.wav	сбер позвони орешкину	сбер позвони орешкину	1.7854375
112	files/3bb1f83110300f74f97a64ce9d07cfc9.wav	сбер вызов валерону	сбер вы вызов валерона	2.2310625
113	files/944ea388fa931e3597edd09a92f95d8f.wav	сбер мне нравится	сбер мне нравится	1.9188125
114	files/82bd984b8b0ab0c3d84a9ffe04f1759d.wav	сбер следующий трек	сбер следующий трек	2.0066875
115	files/661513f469bd0931dd78f8c12d265aac.wav	афина случайный трек	афина случайный трек	2.326
116	files/f9dd92157b5f84051be088b4f5e1c3a3.wav	афина выключи	афина выключи	1.4089375
117	files/0ad086e4c8f547243066b845f1eb7f72.wav	джой караоке	джой караоке	1.2314375
118	files/37733885223ab82356a7c37308a7a7da.wav	сбер надоела	сбер надоело	1.53325
119	files/e8b5b77a218dd35c5377531620a13255.wav	джой сверни	джой сверни	1.5914375
120	files/f339424305bb9ac4e1e3724d29902f70.wav	джой закрой приложение	джой закрой приложение	1.6659375
121	files/7a412e62acb2b9d1e095b67188af0ac9.wav	афина караоке	афина караоке	1.3806875
122	files/9a6563df2b94ff3e4e71444ce6cc8982.wav	салют назад	салют назад	1.95975
123	files/f2f3044e08cae4776c1c6906b2c811de.wav	салют набери владислава дмитриевича	салют набери владислава дмитриевича	2.4080624999999998
124	files/685c56a18bd0570b836acaca1b1ec072.wav	сбер набери синякова	сбер набери синякова	1.9150625
125	files/0a172e6a40ff4bdecdc8ced06f6a6b58.wav	салют закрой приложение	салют закрой приложение	1.8211875
126	files/14a4ee8c3e1b301f772fe452dd8dfa6e.wav	сбер надоел	сбер надоел	1.28025
127	files/e957344836129dba56d0bbb701e85420.wav	джой набери рябых	джой набери рябов	1.7697500000000002
128	files/8eabd5fdcdf5b8913ac10c076716b18e.wav	афина скрой приложение	афина скрой приложение	1.9264375
129	files/79e24f3b9dec88eb5a4be808a5ab9d69.wav	джой выйти из навыка	джой выйти из навыка	1.836125
130	files/cbbe1a143137c296707a5f4ac782b02b.wav	сбер продолжить	сбер продолжить	1.525625
131	files/474e63de1229655501ed81a9cc647e93.wav	сбер закрой приложение	сбер закрой приложение	1.87675
132	files/d9b801494f39ae62a14523e30bd4c6b6.wav	салют стоп	салют стоп	1.80075
133	files/44e3666a8bdddb5905d2d4f54c6ced08.wav	джой тише	джой тише	1.389375
134	files/3592f96fa0c560ecd1c6a55da6345a42.wav	джой завершить навык	джой завершить навык	1.452625
135	files/c5661dae36ed4e095c308cda3a0c430a.wav	афина мне не нравится	афина мне не нравится	1.7944375
136	files/190acd42eb1d031818827c6edfa5be5b.wav	джой приложение сверни	джой приложение сверни	2.17325
137	files/cfb7a1b86b1cbcee2bdb0e1f8ab5d81f.wav	салют покажи текст песни	салют покажи текст песни	2.01025
138	files/2419c0d88f0797bea4579932dd5f029b.wav	джой позвони марине олеговне	джой позвони марине олеговне	2.8006875
139	files/923bdd9a7f6ab5070e7312f12eaadf17.wav	джой выйти из приложения	джой выйти из приложения	2.0843125
140	files/353a04f64798ba822b8456aa76200536.wav	сбер набери танюшу	сбер набери танюшу	2.008
141	files/cb81df552db89c7c3c2ac9528834524c.wav	салют сделай звонок маринину	салют сделай звонок маринину	2.0990625
142	files/cb462dc87de6085d2e42e7d5e1b4775f.wav	джой хватит	джой хватит	0.9707500000000001
143	files/49b229be2b1ab3ba56442cee2550707b.wav	афина назад	афина назад	1.698375
144	files/de40e2d1467dc30ca607792fca30a2cf.wav	сбер случайный трек	сбер случайный трек	1.824
145	files/f2846850fe12e1aa343235ff65d955b9.wav	афина не нравится	афина не нравится	1.7508124999999999
146	files/85c297f497179d02f0f5cf01e9a1f166.wav	сбер сделай звонок умиджону алиевичу пастухову	сбер сделай звонок умиджону алиевичу пастухову	4.29975
147	files/ae7061fb42ed94c8d1e39889871209ce.wav	салют набери алексея	салют набери алексея	2.37
148	files/89a039951ed8f17537aecf23bfda7cc3.wav	афина сделай звонок григорию николаевичу	афина сделай звонок григорию николаевичу	3.040875
149	files/c381a601e6af11562e0399d02cd6eefc.wav	афина перезвони виктору николаевичу филиппову	афина перезвони виктору николаевичу филиппову	3.2095000000000002
150	files/7213799dd5e480050c5213e3a9734048.wav	джой надоел	джой надоел	1.3431875
151	files/616889b62bf107fb31fd533323b378e9.wav	салют сделай звонок исламчику абрамову	салют сделай звонок исламчику абрамову	2.873125
152	files/cd2a10baf957c0dc15288e6a73ae8d34.wav	джой перемотка	джой перемотка	1.5803125
153	files/4b963a4b6bc677f3495971b9b75c7c39.wav	сбер выйти из сценария	сбер выйти из сценария	2.4121875
154	files/c920999aaaf123bc4b5a6f2492e9226b.wav	афина закрой приложение	афина закрой приложение	2.25375
155	files/881f03db4a2a7c74630ea61f41af4668.wav	салют сверни	салют сверни	1.3750624999999999
156	files/3c66002172ef030a1e37617933ee23b0.wav	сбер случайный трек	сбер случайный трек	2.0671875
157	files/ef17c9a6751dd1efd4cb8c9f769e2a54.wav	афина прекрати	афина прекрати	1.5536249999999998
158	files/9c593558a06cb4d5584cea1a13db4a84.wav	афина случайный трек	афина случайный трек	1.559875
159	files/d685bd25e19c34ae0e64035a123e6680.wav	салют зачем копить деньги	салют зачем копить деньги	2.951875
160	files/c51be44447b0c9c9a28c8e3ea317d425.wav	салют кто лучше играет месси или роналду	салют кто лучше играет мэси или роналду	4.7623125
161	files/ccbfae4ad2ef4229ded6992d3fca5a38.wav	афина почему трамваи едут по рельсам	афина почему трампа и трамвай едут по рельсам	4.75375
162	files/5dc41f6190a5fb8339fb19d088f5b8fc.wav	джой найди египтус	джой найди египтус	2.8433124999999997
163	files/9ec5334e3fbfeca7b52c1aff9f93de61.wav	афина кто красит редиску под землей	афина кто красит редиску под землёй	4.272625
164	files/84c09f385d7801423b99ec0794560298.wav	сбер что такое зона пятьдесят один	сбер что такое зона пятьдесят один	3.043625
165	files/02e2fd7b2355a14ad60fdeedecfcf968.wav	кто такой человек паук	кто такой человек-паук	2.2536875
166	files/596548a20da4719c2778d2199ec3c963.wav	афина включи братья кратт	афина включи братья крат	2.7474375
167	files/d742ff48fb6d23d92eeb85b068f93bd1.wav	как повысить температуру тела	как повысить температуру тела	2.9015625
168	files/fe26e0a65af5c6a09187a54b664fb595.wav	сбер зачем человеку цель в жизни	сбер зачем человеку цель в жизни	3.245125
169	files/e57f5576cd84f959b008da37b3f06a25.wav	что такое стыд	что такое стыд	1.3655
170	files/52e3c1327680d78b9a0a2cba6a52317f.wav	кафе баттербин	кафе батярбин	2.14625
171	files/76c369a6588380d56f7e80edaffdba57.wav	салют почему в петербурге на станциях двери	салют почему в петербурге на станциях две двери	5.128375
172	files/3a6b78049670a6aabd72ba9340ac5fc3.wav	джой почему пластилин слипается	джой почему пластилин слипается	3.550375
173	files/a111159f83dd22d6a1e22cda97c08b6b.wav	джой что значит захватить мир	джой что значит захватить мир	3.3443125
174	files/3dae2322f67232d2d7fed515cc3ca7be.wav	салют зачем копить деньги	салют зачем копить деньги	3.21
175	files/885170ca5413cb7540d257135bccdd6b.wav	афина что такое нейросеть	афина что такое нейросеп	2.956375
176	files/6a3b722c42c4cf2b851822ad2a99edbd.wav	эбби хэтчер	эбби хэтчер	2.3999375
177	files/3a4b510d2e0cb46c4883252f94310601.wav	что делать если кошка дерет обои	что делает если кошка дерёт оболь	3.490125
178	files/cb7068e6c986ad90edcd95f99d8bc601.wav	афина что такое титаник	афина что такое титаник	2.519875
179	files/de5f70763f73d3d3836423ad7ebbff7e.wav	джой почему морские свинки так называются	джой почему морские свинки так называются	4.40425
180	files/b03a371a0013a10e566047c88e8be6f3.wav	сбер включи пороро	сбер включи пороро	3.0071875
181	files/f6fcdaf9c99c0930a5619f1295dc7960.wav	афина чем мурчат кошки	афина чем мырчат кошки	2.7171875
182	files/b1af590c44723fa70c19d7d666532d81.wav	сбер как нужно одеваться	сбер как нужно одеваться	2.0225
183	files/7ab97ba363d56c44ce619f0b901288b9.wav	салют найди чуня	салют найди чуня	2.1485
184	files/b5e27c259b43c517cfc00a267122bb08.wav	афина как не убираться	афина как не убираться	2.69825
185	files/2cad5da7e09765c8fedb608e918f700a.wav	салют кто лучше играет месси или роналду	салют кто лучший играет мэсси или роналду	4.738125
186	files/0a241e2a814d5895808c135eebcc48e3.wav	афина почему трамваи едут по рельсам	афина почему трампа и трамвай едут по рельсам	4.841125
187	files/dc9defdec106a75532021b9de89b394c.wav	афина кто красит редиску под землей	афина кто красит редиску под землёй	4.042875
188	files/d59590775bce229b7c16433ed98009f1.wav	почему я не нравлюсь девочкам	почему я не нравлюсь девочкам	2.624125
189	files/6aa51997373f6338ea960139b817b589.wav	джой найди египтус	джой найди египтус	3.189375
